"Kod";"Nazwa";"Miesiące";"Rodzaje towarów i usług";"Cena i wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2010";2,11;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2011";2,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2012";1,52;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2013";1,66;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2014";2,44;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2015";1,66;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2016";2,49;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2017";2,00;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2018";2,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"marzec";"cebula - za 1 kg";"cena";"2019";3,74;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2006";1,15;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2007";2,14;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2008";1,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2009";1,35;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2010";2,37;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2011";2,43;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2012";1,52;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2013";1,71;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2014";2,38;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2015";1,57;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2016";2,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2017";2,07;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2018";2,18;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"kwiecień";"cebula - za 1 kg";"cena";"2019";3,82;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2006";1,21;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2007";2,51;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2008";1,67;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2009";1,49;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2010";2,81;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2011";2,54;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2012";1,56;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2013";2,06;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2014";2,76;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2015";2,09;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2016";2,55;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2017";2,04;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2018";2,27;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"maj";"cebula - za 1 kg";"cena";"2019";4,33;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2006";1,76;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2007";2,90;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2008";2,51;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2009";2,33;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2010";3,74;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2011";3,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2012";2,25;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2013";2,75;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2014";3,56;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2015";3,03;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2016";3,04;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2017";2,48;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2018";3,34;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"czerwiec";"cebula - za 1 kg";"cena";"2019";5,02;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2006";2,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2007";2,50;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2008";2,47;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2009";2,52;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2010";3,43;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2011";2,95;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2012";2,73;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2013";3,27;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2014";3,41;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2015";3,13;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2016";3,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2017";3,16;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2018";3,60;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"lipiec";"cebula - za 1 kg";"cena";"2019";5,12;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2006";2,17;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2007";1,89;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2008";1,99;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2009";2,13;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2010";2,74;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2011";2,49;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2012";2,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2013";2,79;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2014";2,79;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2015";2,71;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2016";2,92;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2017";2,69;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2018";3,20;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sierpień";"cebula - za 1 kg";"cena";"2019";4,73;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"wrzesień";"cebula - za 1 kg";"cena";"2006";1,85;"zł";"";
